question,tier,score,latency,correct,pred,target,cost,norm_score,bin
Find the product of the given polynomials in the g,Tier 1,0.45381818181818184,0.384110689163208,False,,B,4,0.004538181818181819,"(-0.001, 0.2]"
Statement 1 | S_n is non-Abelian for all n >= 3. S,Tier 2,0.8589377990430623,0.23836994171142578,True,C,C,12,0.008589377990430623,"(-0.001, 0.2]"
Find the characteristic of the ring Z x Z.,Tier 1,0.45381818181818184,0.2416079044342041,True,A,A,4,0.004538181818181819,"(-0.001, 0.2]"
Find the order of the factor group (Z_11 x Z_15)/(,Tier 1,0.45381818181818184,0.5838780403137207,False,,A,4,0.004538181818181819,"(-0.001, 0.2]"
"If (G, .) is a group such that (ab)^-1 = a^-1b^-1,",Tier 2,0.7467272727272729,0.24250531196594238,True,B,B,12,0.007467272727272729,"(-0.001, 0.2]"
Statement 1 | Every free abelian group is torsion ,Tier 1,0.3718181818181819,0.2448577880859375,False,C,A,4,0.003718181818181819,"(-0.001, 0.2]"
Compute the product in the given ring. (12)(16) in,Tier 1,0.45381818181818184,0.3870222568511963,False,,A,4,0.004538181818181819,"(-0.001, 0.2]"
Statement 1 | Every group of order 42 has a normal,Tier 1,0.45381818181818184,0.25528526306152344,True,C,C,4,0.004538181818181819,"(-0.001, 0.2]"
Statement 1 | Some abelian group of order 45 has a,Tier 2,0.86155023923445,0.30326056480407715,False,D,B,12,0.0086155023923445,"(-0.001, 0.2]"
Statement 1 | There exists a free abelian group of,Tier 2,0.7415023923444978,0.23340106010437012,True,A,A,12,0.007415023923444977,"(-0.001, 0.2]"
Statement 1 | R is a splitting field of some polyn,Tier 1,0.45381818181818184,0.3065817356109619,False,C,B,4,0.004538181818181819,"(-0.001, 0.2]"
"The set of integers Z with the binary operation ""*",Tier 1,0.6062775119617226,0.25177955627441406,True,C,C,4,0.006062775119617226,"(-0.001, 0.2]"
Find all zeros in the indicated finite field of th,Tier 1,0.45381818181818184,0.23139667510986328,True,B,B,4,0.004538181818181819,"(-0.001, 0.2]"
Find all zeros in the indicated finite field of th,Tier 1,0.45381818181818184,0.4140803813934326,False,,C,4,0.004538181818181819,"(-0.001, 0.2]"
"Using Fermat's theorem, find the remainder of 3^47",Tier 4,1.7631387559808611,0.8527672290802002,False,,D,80,0.01763138755980861,"(-0.001, 0.2]"
"If A = {1, 2, 3} then relation S = {(1, 1), (2, 2)",Tier 2,0.8589377990430623,0.2314753532409668,False,B,C,12,0.008589377990430623,"(-0.001, 0.2]"
Find all c in Z_3 such that Z_3[x]/(x^3 + x^2 + c),Tier 1,0.45381818181818184,0.41640543937683105,False,,B,4,0.004538181818181819,"(-0.001, 0.2]"
Statement 1 | A homomorphism is one to one if and ,Tier 2,0.8576315789473685,0.23321914672851562,True,C,C,12,0.008576315789473685,"(-0.001, 0.2]"
Statement 1 | The image of a group of 6 elements u,Tier 1,0.45381818181818184,0.32666659355163574,True,D,D,4,0.004538181818181819,"(-0.001, 0.2]"
Find the maximum possible order for an element of ,Tier 1,0.6062775119617226,0.23253846168518066,False,C,A,4,0.006062775119617226,"(-0.001, 0.2]"
Statement 1 | If a group has an element of order 1,Tier 2,0.8576315789473685,0.24640607833862305,False,C,A,12,0.008576315789473685,"(-0.001, 0.2]"
Statement 1 | If R is a ring and f(x) and g(x) are,Tier 2,0.7467272727272729,0.236222505569458,True,D,D,12,0.007467272727272729,"(-0.001, 0.2]"
Statement 1 | Every field is also a ring. Statemen,Tier 1,0.3756363636363637,1.3976995944976807,True,C,C,4,0.003756363636363637,"(-0.001, 0.2]"
Find the degree for the given field extension Q(sq,Tier 1,0.6062775119617226,0.22920465469360352,True,B,B,4,0.006062775119617226,"(-0.001, 0.2]"
"The inverse of -i in the multiplicative group, {1,",Tier 1,0.45381818181818184,0.2526857852935791,True,C,C,4,0.004538181818181819,"(-0.001, 0.2]"
Find the maximum possible order for some element o,Tier 1,0.6062775119617226,0.23297739028930664,False,C,B,4,0.006062775119617226,"(-0.001, 0.2]"
Statement 1 | If T: V -> W is a linear transformat,Tier 3,1.191464114832536,0.666649580001831,False,,A,30,0.01191464114832536,"(-0.001, 0.2]"
Statement 1 | A ring homomorphism is one to one if,Tier 2,0.8576315789473685,0.23908066749572754,False,C,D,12,0.008576315789473685,"(-0.001, 0.2]"
Statement 1 | If H is a subgroup of G and a belong,Tier 2,1.0792535885167467,0.2288813591003418,True,C,C,12,0.010792535885167466,"(-0.001, 0.2]"
Determine whether the polynomial in Z[x] satisfies,Tier 2,0.8582846889952154,0.23505496978759766,False,D,B,12,0.008582846889952154,"(-0.001, 0.2]"
Statement 1| Every group of order p^2 where p is p,Tier 3,1.1875454545454547,0.42267274856567383,False,D,A,30,0.011875454545454547,"(-0.001, 0.2]"
Statement 1 | Every nonzero free abelian group has,Tier 1,0.4566818181818182,0.3191699981689453,True,D,D,4,0.004566818181818182,"(-0.001, 0.2]"
Let G denoted the set of all n x n non-singular ma,Tier 2,0.8204976076555025,0.2516133785247803,True,C,C,12,0.008204976076555025,"(-0.001, 0.2]"
Statement 1 | Every quotient ring of every commuta,Tier 2,0.8576315789473685,0.231719970703125,False,A,C,12,0.008576315789473685,"(-0.001, 0.2]"
The polynomial x^3 + 2x^2 + 2x + 1 can be factored,Tier 1,0.45381818181818184,0.4102761745452881,False,,C,4,0.004538181818181819,"(-0.001, 0.2]"
Statement 1 | Every maximal ideal is a prime ideal,Tier 2,0.7467272727272729,0.2582392692565918,False,A,B,12,0.007467272727272729,"(-0.001, 0.2]"
Statement 1 | A factor group of a non-Abelian grou,Tier 2,0.7467272727272729,0.23793268203735352,False,C,B,12,0.007467272727272729,"(-0.001, 0.2]"
"Compute the product in the given ring. (2,3)(3,5) ",Tier 1,0.45381818181818184,0.3902096748352051,False,,C,4,0.004538181818181819,"(-0.001, 0.2]"
Find the generator for the finite field Z_7.,Tier 1,0.6062775119617226,0.24999451637268066,True,C,C,4,0.006062775119617226,"(-0.001, 0.2]"
Find the degree for the given field extension Q(sq,Tier 1,0.6062775119617226,0.23241710662841797,True,B,B,4,0.006062775119617226,"(-0.001, 0.2]"
"Statement 1 | For n > 1, the set {1,2, ..., n-1} i",Tier 1,0.6108492822966508,0.3273918628692627,True,D,D,4,0.006108492822966508,"(-0.001, 0.2]"
Statement 1 | Every homomorphic image of a group G,Tier 1,0.3718181818181819,0.2411022186279297,False,C,A,4,0.003718181818181819,"(-0.001, 0.2]"
How many homomorphisms are there of Z into Z_2?,Tier 1,0.5743636363636364,0.2329118251800537,True,B,B,4,0.005743636363636364,"(-0.001, 0.2]"
Compute the product in the given ring. (20)(-8) in,Tier 1,0.45381818181818184,0.37476587295532227,False,,D,4,0.004538181818181819,"(-0.001, 0.2]"
Statement 1 | Every permutation is a one-to-one fu,Tier 2,0.7454210526315792,0.2369556427001953,True,C,C,12,0.007454210526315792,"(-0.001, 0.2]"
Statement 1 | 4x - 2 is irreducible over Z. Statem,Tier 1,0.45381818181818184,0.24656462669372559,False,C,D,4,0.004538181818181819,"(-0.001, 0.2]"
Statement 1 | Every ideal in a ring is a subring o,Tier 1,0.3718181818181819,0.24264788627624512,True,C,C,4,0.003718181818181819,"(-0.001, 0.2]"
Find the degree for the given field extension Q(sq,Tier 1,0.6062775119617226,0.2368471622467041,True,B,B,4,0.006062775119617226,"(-0.001, 0.2]"
Statement 1 | Every integral domain with character,Tier 1,0.45381818181818184,0.24238371849060059,True,C,C,4,0.004538181818181819,"(-0.001, 0.2]"
Statement 1 | Every solvable group is of prime-pow,Tier 1,0.3718181818181819,0.24244976043701172,True,D,D,4,0.003718181818181819,"(-0.001, 0.2]"
"A subset H of a group (G,*) is a group if",Tier 1,0.5526363636363637,0.24575352668762207,True,C,C,4,0.005526363636363637,"(-0.001, 0.2]"
Statement 1 | A homomorphism may have an empty ker,Tier 1,0.3718181818181819,0.2478625774383545,False,C,B,4,0.003718181818181819,"(-0.001, 0.2]"
The polynomial x^4 + 4 can be factored into linear,Tier 1,0.45381818181818184,0.3904154300689697,False,,A,4,0.004538181818181819,"(-0.001, 0.2]"
Statement 1 | The set of 2 x 2 matrices with integ,Tier 1,0.6065454545454546,0.3254210948944092,True,D,D,4,0.006065454545454546,"(-0.001, 0.2]"
Find the number of elements in the indicated cycli,Tier 1,0.45381818181818184,0.3785552978515625,False,,C,4,0.004538181818181819,"(-0.001, 0.2]"
Statement 1 | If K is a nonzero subgroup of a fini,Tier 2,0.7467272727272729,0.2362651824951172,True,C,C,12,0.007467272727272729,"(-0.001, 0.2]"
Find the characteristic of the ring Z_3 x 3Z.,Tier 1,0.45381818181818184,0.22716426849365234,False,B,A,4,0.004538181818181819,"(-0.001, 0.2]"
Statement 1 | Every group of order 159 is cyclic. ,Tier 1,0.45381818181818184,0.34751152992248535,True,A,A,4,0.004538181818181819,"(-0.001, 0.2]"
"Statement 1 | If a R is an integral domain, then R",Tier 2,0.7467272727272729,0.24048137664794922,True,C,C,12,0.007467272727272729,"(-0.001, 0.2]"
"The element (4, 2) of Z_12 x Z_8 has order",Tier 1,0.45381818181818184,0.4134202003479004,False,,C,4,0.004538181818181819,"(-0.001, 0.2]"
Find the generator for the finite field Z_11.,Tier 1,0.6062775119617226,0.24447250366210938,True,B,B,4,0.006062775119617226,"(-0.001, 0.2]"
Statement 1 | In a group (ab)^{-2} = b^{-2}a^{-2}.,Tier 1,0.45381818181818184,0.23813700675964355,False,C,B,4,0.004538181818181819,"(-0.001, 0.2]"
Statement 1 | In a finite dimensional vector space,Tier 2,0.7467272727272729,0.23502278327941895,True,A,A,12,0.007467272727272729,"(-0.001, 0.2]"
Statement 1 | Q is an extension field of Z_2. Stat,Tier 1,0.45381818181818184,0.3381845951080322,True,D,D,4,0.004538181818181819,"(-0.001, 0.2]"
Statement 1 | If H and K are subgroups of G and on,Tier 2,0.8589377990430623,0.24396681785583496,False,C,A,12,0.008589377990430623,"(-0.001, 0.2]"
"If A = (1, 2, 3, 4). Let ~= {(1, 2), (1, 3), (4, 2",Tier 2,0.8589377990430623,0.24557161331176758,False,A,B,12,0.008589377990430623,"(-0.001, 0.2]"
"Let A and B be sets, f: A -> B and g: B -> A be fu",Tier 1,0.5019043062200959,0.8901605606079102,False,C,D,4,0.005019043062200959,"(-0.001, 0.2]"
Determine whether the polynomial in Z[x] satisfies,Tier 2,0.8582846889952154,0.2470228672027588,False,D,B,12,0.008582846889952154,"(-0.001, 0.2]"
Statement 1 | The homomorphic image of a cyclic gr,Tier 1,0.3718181818181819,0.24290919303894043,True,A,A,4,0.003718181818181819,"(-0.001, 0.2]"
"Let p = (1, 2, 5, 4)(2, 3) in S_5 . Find the index",Tier 1,0.6062775119617226,0.37941575050354004,False,,C,4,0.006062775119617226,"(-0.001, 0.2]"
"In the group G = {2, 4, 6, 8) under multiplication",Tier 1,0.45381818181818184,0.2967081069946289,True,A,A,4,0.004538181818181819,"(-0.001, 0.2]"
Find the sum of the given polynomials in the given,Tier 1,0.45381818181818184,0.4138936996459961,False,,A,4,0.004538181818181819,"(-0.001, 0.2]"
Find all zeros in the indicated finite field of th,Tier 1,0.45381818181818184,0.39603519439697266,False,,D,4,0.004538181818181819,"(-0.001, 0.2]"
The set of all nth roots of unity under multiplica,Tier 1,0.3718181818181819,0.2417135238647461,True,D,D,4,0.003718181818181819,"(-0.001, 0.2]"
"For T: Z x Z -> Z where T(1, 0) = 3 and T(0, 1) = ",Tier 1,0.6062775119617226,0.4154367446899414,False,,A,4,0.006062775119617226,"(-0.001, 0.2]"
Find all cosets of the subgroup 4Z of 2Z.,Tier 1,0.45381818181818184,0.23406648635864258,True,B,B,4,0.004538181818181819,"(-0.001, 0.2]"
Statement 1 | If a and b are elements of a group a,Tier 2,0.8589377990430623,0.24945473670959473,True,D,D,12,0.008589377990430623,"(-0.001, 0.2]"
Statement 1 | If H and K are subgroups of a group ,Tier 2,0.7467272727272729,0.24015116691589355,True,A,A,12,0.007467272727272729,"(-0.001, 0.2]"
Statement 1 | For every positive integer n there i,Tier 1,0.49406698564593315,0.2372150421142578,False,D,A,4,0.004940669856459331,"(-0.001, 0.2]"
"Statement 1 | For finite groups G and H, |G + H| =",Tier 2,0.7493397129186604,0.2477419376373291,False,D,A,12,0.007493397129186604,"(-0.001, 0.2]"
Statement 1 | The unity of a subring must be the s,Tier 1,0.3746818181818182,0.2464287281036377,True,D,D,4,0.0037468181818181823,"(-0.001, 0.2]"
Find the degree for the given field extension Q(sq,Tier 1,0.6062775119617226,0.23677682876586914,False,B,C,4,0.006062775119617226,"(-0.001, 0.2]"
Find the maximum possible order for an element of ,Tier 1,0.6062775119617226,0.2534494400024414,True,C,C,4,0.006062775119617226,"(-0.001, 0.2]"
Which of the following statements is true?,Tier 1,0.5777045454545455,0.2362220287322998,True,B,B,4,0.005777045454545455,"(-0.001, 0.2]"
Find all c in Z_3 such that Z_3[x]/(x^3 + cx^2 + 1,Tier 1,0.45381818181818184,0.39850473403930664,False,,B,4,0.004538181818181819,"(-0.001, 0.2]"
Macrostomia results from failure of fusion of,Tier 1,0.37515909090909094,0.2338852882385254,False,B,A,4,0.0037515909090909093,"(-0.001, 0.2]"
"In the brain stem, pathways for:",Tier 1,0.3718181818181819,0.24963927268981934,True,C,C,4,0.003718181818181819,"(-0.001, 0.2]"
The head of the sixth rib articulates with,Tier 1,0.37515909090909094,0.23852896690368652,True,C,C,4,0.0037515909090909093,"(-0.001, 0.2]"
Which of the following allows air to pass into the,Tier 1,0.49236363636363645,0.23387956619262695,True,C,C,4,0.004923636363636364,"(-0.001, 0.2]"
Which of the following is the large bone found sup,Tier 1,0.49236363636363645,0.23978924751281738,True,B,B,4,0.004923636363636364,"(-0.001, 0.2]"
A possible effect of damage to the third cranial n,Tier 1,0.3775454545454546,0.23664045333862305,True,B,B,4,0.003775454545454546,"(-0.001, 0.2]"
Which of the following statements is true of the t,Tier 1,0.49236363636363645,0.24835944175720215,True,D,D,4,0.004923636363636364,"(-0.001, 0.2]"
A successful infraorbital nerve block will produce,Tier 1,0.37515909090909094,0.22429251670837402,True,C,C,4,0.0037515909090909093,"(-0.001, 0.2]"
A patient with damage to their cervical sympatheti,Tier 1,0.5245454545454545,1.3697068691253662,True,B,B,4,0.005245454545454545,"(-0.001, 0.2]"
Saliva contains an enzyme that acts upon which of ,Tier 1,0.6450909090909092,0.2377302646636963,True,A,A,4,0.006450909090909091,"(-0.001, 0.2]"
The mucosa of the upper larynx is innervated by th,Tier 1,0.45715909090909096,0.23511505126953125,True,A,A,4,0.00457159090909091,"(-0.001, 0.2]"
Which of the following conditions is characterized,Tier 1,0.49236363636363645,0.23687529563903809,True,C,C,4,0.004923636363636364,"(-0.001, 0.2]"
A pulse may be felt on a patient's face where the,Tier 1,0.37515909090909094,0.22810125350952148,True,A,A,4,0.0037515909090909093,"(-0.001, 0.2]"
Osteoclasts,Tier 1,0.37515909090909094,0.24697303771972656,True,D,D,4,0.0037515909090909093,"(-0.001, 0.2]"
Which one of the following brain areas is supplied,Tier 1,0.49236363636363645,0.23382902145385742,True,D,D,4,0.004923636363636364,"(-0.001, 0.2]"
Food is prevented from entering the larynx during ,Tier 1,0.37515909090909094,0.23847508430480957,False,B,A,4,0.0037515909090909093,"(-0.001, 0.2]"
Which of the following structures accompany the oe,Tier 1,0.49236363636363645,0.23682403564453125,True,D,D,4,0.004923636363636364,"(-0.001, 0.2]"
Which of the following describes the cluster of bl,Tier 1,0.49236363636363645,0.2501239776611328,True,B,B,4,0.004923636363636364,"(-0.001, 0.2]"
Which orbital wall is most likely to collapse in a,Tier 1,0.49236363636363645,0.2330620288848877,True,B,B,4,0.004923636363636364,"(-0.001, 0.2]"
When an emergency opening into the airway is requi,Tier 1,0.5583636363636365,0.23274588584899902,True,B,B,4,0.005583636363636365,"(-0.001, 0.2]"
The walls of the maxillary sinus are sinus is rela,Tier 1,0.45715909090909096,0.22847867012023926,True,C,C,4,0.00457159090909091,"(-0.001, 0.2]"
Which of the following conditions is characterized,Tier 1,0.49236363636363645,0.2347126007080078,True,C,C,4,0.004923636363636364,"(-0.001, 0.2]"
Which muscles are normally active during quiet ins,Tier 1,0.5743636363636364,0.26407694816589355,True,B,B,4,0.005743636363636364,"(-0.001, 0.2]"
Oxygenated blood is carried to the heart by which ,Tier 1,0.49236363636363645,0.2408304214477539,True,D,D,4,0.004923636363636364,"(-0.001, 0.2]"
You notice that your patient's submandibular lymph,Tier 1,0.5019043062200959,0.2312319278717041,True,D,D,4,0.005019043062200959,"(-0.001, 0.2]"
Which of the following foramina pierce the sphenoi,Tier 1,0.49236363636363645,0.23705077171325684,True,C,C,4,0.004923636363636364,"(-0.001, 0.2]"
The bones of the viscerocranium develop initially ,Tier 1,0.37515909090909094,0.2337939739227295,True,C,C,4,0.0037515909090909093,"(-0.001, 0.2]"
A patient suffers damage to the orbit in a road tr,Tier 1,0.4961818181818182,0.24911069869995117,True,D,D,4,0.004961818181818182,"(-0.001, 0.2]"
Which of the following bones has a process that jo,Tier 1,0.49236363636363645,0.240234375,True,B,B,4,0.004923636363636364,"(-0.001, 0.2]"
Which of the following are mucus-producing glands ,Tier 1,0.49236363636363645,0.24367499351501465,True,B,B,4,0.004923636363636364,"(-0.001, 0.2]"
The mucosa of the hard palate is,Tier 1,0.45715909090909096,0.24359607696533203,True,A,A,4,0.00457159090909091,"(-0.001, 0.2]"
Which of the following closes and seals off the lo,Tier 1,0.49236363636363645,0.24145030975341797,True,B,B,4,0.004923636363636364,"(-0.001, 0.2]"
Which of the following is the lymphoid organ that ,Tier 1,0.6590239234449763,0.24483346939086914,True,D,D,4,0.006590239234449763,"(-0.001, 0.2]"
A lesion causing compression of the facial nerve a,Tier 1,0.45715909090909096,0.23641514778137207,True,A,A,4,0.00457159090909091,"(-0.001, 0.2]"
The respiratory tract is crossed by the isthmus of,Tier 1,0.37515909090909094,0.22237539291381836,False,C,D,4,0.0037515909090909093,"(-0.001, 0.2]"
The infraorbital nerve,Tier 1,0.37515909090909094,0.2409682273864746,True,A,A,4,0.0037515909090909093,"(-0.001, 0.2]"
The spheno-occipital synchondrosis,Tier 1,0.3775454545454546,0.22763586044311523,False,D,B,4,0.003775454545454546,"(-0.001, 0.2]"
Which of the following allows gas exchange in the ,Tier 1,0.49236363636363645,0.23240137100219727,True,A,A,4,0.004923636363636364,"(-0.001, 0.2]"
Which of the following options completes the follo,Tier 1,0.4957045454545455,0.22657394409179688,True,B,B,4,0.004957045454545455,"(-0.001, 0.2]"
"If the foot is abducted, it is moved in which dire",Tier 2,0.9064593301435409,0.2306973934173584,False,B,D,12,0.009064593301435409,"(-0.001, 0.2]"
Which of the following statements is true of the p,Tier 1,0.5743636363636364,0.22132563591003418,True,C,C,4,0.005743636363636364,"(-0.001, 0.2]"
Which of the following cranial nerves is related t,Tier 1,0.49236363636363645,0.23405098915100098,True,C,C,4,0.004923636363636364,"(-0.001, 0.2]"
Which of the following organs removes bilirubin fr,Tier 1,0.49236363636363645,0.23249006271362305,True,C,C,4,0.004923636363636364,"(-0.001, 0.2]"
The regional lymphatic drainage of the left side o,Tier 1,0.37515909090909094,0.2329416275024414,False,D,B,4,0.0037515909090909093,"(-0.001, 0.2]"
Which of the following muscles are derived from th,Tier 2,0.9398181818181819,0.23086333274841309,True,B,B,12,0.00939818181818182,"(-0.001, 0.2]"
You notice a lesion on the labial alveolar mucosa ,Tier 2,0.9802296650717705,0.2503790855407715,True,B,B,12,0.009802296650717704,"(-0.001, 0.2]"
The coronary arteries,Tier 1,0.37515909090909094,0.2238481044769287,True,D,D,4,0.0037515909090909093,"(-0.001, 0.2]"
Which cells in the blood do not have a nucleus?,Tier 1,0.49236363636363645,0.2301948070526123,True,C,C,4,0.004923636363636364,"(-0.001, 0.2]"
Which of the following terms describes the motion ,Tier 1,0.5743636363636364,0.21993756294250488,True,C,C,4,0.005743636363636364,"(-0.001, 0.2]"
A patient suffers a CVA in the area of the left in,Tier 1,0.37515909090909094,0.23854398727416992,True,A,A,4,0.0037515909090909093,"(-0.001, 0.2]"
Which of the following best describes the location,Tier 1,0.49236363636363645,0.22617673873901367,True,D,D,4,0.004923636363636364,"(-0.001, 0.2]"
Primary motor cortex activity results in,Tier 1,0.45715909090909096,0.2242107391357422,True,D,D,4,0.00457159090909091,"(-0.001, 0.2]"
In which of the following positions does a patient,Tier 1,0.49236363636363645,0.23470807075500488,False,D,B,4,0.004923636363636364,"(-0.001, 0.2]"
The dorsal roots of all spinal nerves contain,Tier 1,0.37515909090909094,0.22145843505859375,True,A,A,4,0.0037515909090909093,"(-0.001, 0.2]"
Which of the following substances is found in grea,Tier 1,0.5743636363636364,0.23520469665527344,False,A,C,4,0.005743636363636364,"(-0.001, 0.2]"
Which muscle is the most active during a right lat,Tier 1,0.49236363636363645,0.22532939910888672,True,A,A,4,0.004923636363636364,"(-0.001, 0.2]"
A patient sustains severe blunt trauma to the left,Tier 1,0.49236363636363645,0.23395848274230957,True,C,C,4,0.004923636363636364,"(-0.001, 0.2]"
Which of the following is an accessory organ of th,Tier 1,0.6590239234449763,0.2286086082458496,True,D,D,4,0.006590239234449763,"(-0.001, 0.2]"
A patient is stabbed in the neck. You suspect dama,Tier 1,0.6141148325358853,0.24715280532836914,True,C,C,4,0.006141148325358853,"(-0.001, 0.2]"
"In a patient with a normal healthy mouth, you woul",Tier 1,0.45715909090909096,0.23971128463745117,False,A,C,4,0.00457159090909091,"(-0.001, 0.2]"
The anatomic location of the spinal canal is,Tier 1,0.3718181818181819,0.23598337173461914,True,B,B,4,0.003718181818181819,"(-0.001, 0.2]"
A patient suffers a broken neck with damage to the,Tier 1,0.37515909090909094,0.22649240493774414,False,A,B,4,0.0037515909090909093,"(-0.001, 0.2]"
"Which of the following is a structural, fibrous pr",Tier 1,0.6450909090909092,0.23655462265014648,True,A,A,4,0.006450909090909091,"(-0.001, 0.2]"
When you examine a patient who has suffered an unf,Tier 1,0.6403636363636365,0.25406980514526367,False,B,A,4,0.006403636363636365,"(-0.001, 0.2]"
"Calcium, potassium, and sodium are classified as w",Tier 1,0.49236363636363645,0.2310962677001953,True,C,C,4,0.004923636363636364,"(-0.001, 0.2]"
If you run your finger down the anterior midline o,Tier 2,0.7493397129186604,0.2485496997833252,True,C,C,12,0.007493397129186604,"(-0.001, 0.2]"
The auditory tube,Tier 2,0.8211818181818182,0.2347266674041748,False,D,C,12,0.008211818181818183,"(-0.001, 0.2]"
Complete bilateral cleft palate is due to failure ,Tier 1,0.3775454545454546,0.2386455535888672,False,A,C,4,0.003775454545454546,"(-0.001, 0.2]"
Which of the following structures is part of the s,Tier 1,0.49236363636363645,0.235612154006958,True,C,C,4,0.004923636363636364,"(-0.001, 0.2]"
Which of the following best describes the human bo,Tier 1,0.5743636363636364,0.23125433921813965,True,B,B,4,0.005743636363636364,"(-0.001, 0.2]"
A successful inferior alveolar nerve block will pr,Tier 1,0.37515909090909094,0.23488259315490723,False,D,C,4,0.0037515909090909093,"(-0.001, 0.2]"
The major concentrations of proprioceptive recepto,Tier 1,0.37515909090909094,0.23728275299072266,True,B,B,4,0.0037515909090909093,"(-0.001, 0.2]"
The crown of a very carious tooth suddenly fractur,Tier 2,0.86155023923445,0.26389479637145996,True,A,A,12,0.0086155023923445,"(-0.001, 0.2]"
A patient is admitted after a head injury and sink,Tier 1,0.6403636363636365,0.22549724578857422,True,A,A,4,0.006403636363636365,"(-0.001, 0.2]"
Fertilization of an ovum by a spermatozoon occurs ,Tier 1,0.49236363636363645,0.23541545867919922,True,B,B,4,0.004923636363636364,"(-0.001, 0.2]"
The palatine processes begin to fuse at,Tier 1,0.37515909090909094,0.2391824722290039,False,B,C,4,0.0037515909090909093,"(-0.001, 0.2]"
Laryngoscopic examination of the vocal folds after,Tier 2,0.7493397129186604,0.41751861572265625,True,B,B,12,0.007493397129186604,"(-0.001, 0.2]"
The phrenic nerves innervate the,Tier 1,0.45715909090909096,0.24737286567687988,True,C,C,4,0.00457159090909091,"(-0.001, 0.2]"
Which of the following structures is derived from ,Tier 2,0.936,0.23601698875427246,True,C,C,12,0.00936,"(-0.001, 0.2]"
Male hormones are produced by which of the followi,Tier 1,0.49236363636363645,0.24511122703552246,True,D,D,4,0.004923636363636364,"(-0.001, 0.2]"
The walls of bronchioles contain,Tier 1,0.37515909090909094,1.7445993423461914,True,D,D,4,0.0037515909090909093,"(-0.001, 0.2]"
"In the spinal cord, motor neuron cell bodies are l",Tier 1,0.37515909090909094,0.23186898231506348,True,D,D,4,0.0037515909090909093,"(-0.001, 0.2]"
Which of the following is the master gland of the ,Tier 1,0.49236363636363645,0.8948864936828613,True,D,D,4,0.004923636363636364,"(-0.001, 0.2]"
Which of the following anatomical regions of abdom,Tier 1,0.49236363636363645,0.2384474277496338,True,A,A,4,0.004923636363636364,"(-0.001, 0.2]"
The lateral pterygoid muscle,Tier 1,0.45715909090909096,0.2339174747467041,True,D,D,4,0.00457159090909091,"(-0.001, 0.2]"
"In men, which of the following structures is locat",Tier 1,0.5743636363636364,0.24610352516174316,True,B,B,4,0.005743636363636364,"(-0.001, 0.2]"
The thoracic cage is a structural unit important f,Tier 2,0.7712344497607657,0.24289512634277344,True,D,D,12,0.007712344497607657,"(-0.001, 0.2]"
The parotid duct runs,Tier 1,0.3775454545454546,0.2471294403076172,True,B,B,4,0.003775454545454546,"(-0.001, 0.2]"
Which of the following bony structures may be palp,Tier 1,0.49236363636363645,0.2497265338897705,True,D,D,4,0.004923636363636364,"(-0.001, 0.2]"
